frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776054855.311142862","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054855.311228154","192.168.0.113","192.168.0.110","35227","1883","986","0x0018","3","Temperature"
"1776054855.311297821","192.168.0.120","192.168.0.110","40409","1883","1719","0x0018","3","Movement"
"1776054855.351487460","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054855.352175460","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054855.352183877","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054855.352188919","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054856.310434413","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054856.310580289","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054856.310765497","192.168.0.120","192.168.0.110","40409","1883","1368","0x0018","3","Movement"
"1776054856.310804872","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054857.310930425","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054857.310989175","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
